1	10
2	10
3	10
4	10
5	11
6	10
7	10
8	10
9	10
10	10
11	10
12	10
13	10
14	10
15	10
16	10
17	10
18	10
19	10
20	10
21	10
22	10
23	10
24	10
25	10
26	10
27	9
28	9
29	9
30	9
31	10
32	9
33	9
34	9
35	9
36	9
37	10
38	9
39	9
40	9
41	9
42	9
43	9
44	9
45	9
46	9
47	9
48	9
49	9
50	9
51	9
52	9
53	9
54	9
55	10
56	9
57	10
58	10
59	9
60	10
61	9
62	9
63	10
64	10
65	9
66	9
67	9
68	9
69	9
70	9
71	10
72	9
73	10
74	9
75	10
76	10
77	9
78	10
79	10
80	9
81	9
82	10
83	9
84	10
85	9
86	10
87	10
88	10
89	10
90	10
91	10
92	10
93	10
94	9
95	9
96	9
97	9
98	9
99	9
100	9
101	9
102	9
103	9
104	9
105	9
106	9
107	9
108	9
109	9
110	9
111	9
112	9
113	9
114	9
115	9
116	9
117	9
118	9
119	9
120	10
121	10
122	9
123	10
124	10
125	10
126	10
127	11
128	10
129	10
130	10
131	10
132	10
133	10
134	10
135	10
136	10
137	10
138	10
139	10
140	10
141	10
142	10
143	10
144	10
145	10
146	9
147	10
148	10
149	10
150	9
151	9
152	10
153	9
154	9
155	9
156	9
157	9
158	9
159	9
160	9
161	9
162	9
163	10
164	9
165	9
166	9
167	9
168	9
169	9
170	9
171	9
172	9
173	9
174	9
175	9
176	9
177	9
178	9
179	9
180	9
181	10
182	9
183	9
184	9
185	9
186	9
187	9
188	9
189	9
190	9
191	9
192	9
193	9
194	9
195	9
196	9
197	9
198	9
199	9
200	9
201	9
202	9
203	9
204	9
205	9
206	9
207	9
208	9
209	9
210	9
211	8
212	9
213	8
214	8
215	9
216	8
217	8
218	8
219	8
220	8
221	8
222	9
223	8
224	8
225	9
226	8
227	8
228	9
229	8
230	8
231	8
232	8
233	8
234	8
235	8
236	8
237	8
238	9
239	8
240	8
241	9
242	8
243	9
244	9
245	9
246	9
247	8
248	9
249	8
250	8
251	8
252	8
253	9
254	8
255	8
256	8
257	8
258	8
259	8
260	8
261	8
262	8
263	8
264	8
265	8
266	8
267	8
268	8
269	8
270	8
271	9
272	8
273	8
274	8
275	8
276	8
277	8
278	8
279	8
280	8
281	8
282	8
283	8
284	8
285	8
286	8
287	8
288	8
289	9
290	8
291	8
292	8
293	8
294	8
295	8
296	8
297	8
298	8
299	8
300	8
301	8
302	8
303	8
304	8
305	8
